Sector	Side	FC Par	p0		p1		p2		p3		p4		p5
1	0	0	25		-12		0.501025	4.4		0		0
1	0	1	1.92939		1.7434		-0.557132	0.5		0		0
1	0	2	15		0.88186		-1.30003	5.76432		2.5729		-0.1
1	0	3	55.2186		-7.06605	2		-1.01612	0		0
1	1	0	25		-12		0.823146	4.4		0		0
1	1	1	3.1227		1.89182		-2		0.779806	0		0
2	0	0	25		-12		0.554702	4.4		0		0
2	0	1	3.06703		2		-2		0.5		0		0
2	0	2	13.075		1.62944		0.226114	0.1		18.2157		-0.828278
2	0	3	54.1796		-3.09856	0.681091	-2.3967		0		0
2	1	0	22.3726		-12		0.838731	4.4		0		0
2	1	1	1.83127		1.89806		-0.236188	0.62221		0		0
3	0	0	25		-12		0.498556	4.4		0		0
3	0	1	2.90265		1.43039		-2		0.749855	0		0
3	0	2	13		1.71788		0.0359657	0.100001	15.8527		-0.661962
3	0	3	60.0185		-10.2329	8.35998e-12	-0.441518	0		0
3	1	0	25		-12		0.582999	4.4		0		0
3	1	1	1.92176		1.82314		-0.759261	0.5		0		0
4	0	0	25		-12		0.726905	4.4		0		0
4	0	1	2.36137		2		-0.404826	0.813316	0		0
4	0	2	15		-0.923262	-0.530852	6.14555		17.3828		-1.58196
4	0	3	59.407		-9.66769	1.58635e-11	-0.581139	0		0
4	1	0	23.8476		-12		0.704378	4.4		0		0
4	1	1	1.87064		2		-0.315735	0.703461	0		0
5	0	0	25		-12		0.701835	4.4		0		0
5	0	1	2.93575		0.852784	-2		0.5		0		0
5	0	2	15		1.31004		-1.16489	5.10505		2.22448		-0.1
5	0	3	56.5247		-6.77995	0.679132	-1.28455	0		0
5	1	0	22.7683		-12		2.55358		4.4		0		0
5	1	1	2.38154		0.803418	-0.251101	1.6		0		0
6	0	0	25		-12		0.732397	4.4		0		0
6	0	1	1.99008		1.66759		-0.351929	0.5		0		0
6	0	2	14.7492		2.42291		-0.667212	6.7429		-86.3025	-4.99965
6	0	3	54.5201		-6.53183	2		-1.08312	0		0
6	1	0	25		-8		0.396816	4.8		0		0
6	1	1	3.03289		1.03817		-2		0.5		0		0	
